created_at,match_id,steam_id,mode,type,placement,total_teams,map,weapon,kills,damage,dbnos,traveled,time_alive,longest_kill,teammates
2026-07-16T21:57:58+08:00,a73aef15-5789-4b4c-ac7a-462d9ae395f0,Black--xbb,Squad,Normal,10,17,Karakin,,0,0,0,0.12km,1m 57s,0m,zhong8yang8|Mayinglong-GM|FahaiGe|Black--xbb
2026-07-16T22:06:15+08:00,721d5b31-73b1-4135-84c8-ebc4433e2f26,Black--xbb,Squad,Normal,10,16,Karakin,,0,0,0,0.39km,4m 36s,0m,FahaiGe|zhong8yang8|Black--xbb|YSY-G502
2026-07-16T22:14:54+08:00,e50c2590-d2d7-48c2-a080-cb47a29a4c6a,Black--xbb,Squad,Normal,14,18,Karakin,M16A4,1,128,1,0.51km,5m 19s,8m,Black--xbb|zhong8yang8|fuermolei12138|FahaiGe
2026-07-16T22:25:13+08:00,f237538c-9771-4999-8b0d-c65b52d1111d,Black--xbb,Squad,Normal,12,17,Karakin,Saiga12,0,197,0,0.38km,5m 42s,0m,FahaiGe|GTHCXC2024|Black--xbb|zhong8yang8
2026-07-16T22:35:12+08:00,9d408c09-2cfc-4828-acfe-daa1154231b4,Black--xbb,Squad,Normal,7,16,Karakin,Beryl,0,20,0,2.24km,12m 47s,0m,FahaiGe|super_ADAM|zhong8yang8|Black--xbb
2026-07-16T22:49:57+08:00,e8714764-179c-4b99-a619-7578cb7985ac,Black--xbb,Squad,Normal,13,18,Karakin,Dragunov,0,187,1,1.12km,6m 55s,0m,super_ADAM|Black--xbb|FahaiGe|zhong8yang8
2026-07-16T23:00:23+08:00,f280ea7a-a947-43e0-8886-c68efe64c39e,Black--xbb,Squad,Normal,10,19,Karakin,M24,1,254,3,1.26km,8m 41s,56m,super_ADAM|zhong8yang8|Black--xbb
2026-07-16T23:11:53+08:00,f44938ef-45a6-428d-ac1b-549eeb377216,Black--xbb,Squad,Normal,1,26,Erangel,AUG A3,12,949,7,7.69km,21m 47s,201m,super_ADAM|Black--xbb|zhong8yang8
2026-07-16T23:35:42+08:00,319379d5-2a57-4107-acb1-c1045bb576d0,Black--xbb,Squad,Normal,18,26,Erangel,VSS,0,46,0,3.47km,6m 47s,0m,zhong8yang8|super_ADAM|Black--xbb
2026-07-16T23:48:16+08:00,8d0b957b-3c4e-4f27-844f-84780d520117,Black--xbb,Squad,Normal,6,17,Karakin,M249,3,239,2,1.68km,11m 33s,106m,super_ADAM|zhong8yang8|Black--xbb|Libra-Rose
